# method=RADIAL_SYMMETRY
# roi=[31, 23, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
48,0.098928073,48.928051,55.449003,0.148882,0.000000,0,,-0.14837012,-0.20249432,-0.0098707676,-0.013471542
49,0.100989075,49.005946,55.720402,0.154675,0.500000,0,,-0.070475124,0.068904682,-0.0046885691,0.0045840907
50,0.103050076,49.011425,55.881583,0.174510,0.500000,0,,-0.064996124,0.23008568,-0.0043240622,0.01530714
51,0.105111078,49.017637,55.698839,0.169382,1.118034,0,,-0.058784124,0.047341682,-0.0039107902,0.0031495474
52,0.107172079,48.957238,55.688948,0.145530,1.414214,0,,-0.11918312,0.037450682,-0.0079290149,0.0024915189
53,0.109233081,49.172935,55.465319,0.158158,0.707107,0,,0.096513876,-0.18617832,0.0064208751,-0.012386071
54,0.111294082,49.110504,55.659001,0.146147,1.000000,0,,0.034082876,0.0075036816,0.0022674655,0.00049920493
55,0.113355084,49.062829,55.519509,0.139471,1.118034,0,,-0.013592124,-0.13198832,-0.00090425685,-0.0087809188
56,0.115416085,48.971763,55.672351,0.134191,0.500000,0,,-0.10465812,0.020853682,-0.0069626957,0.0013873537
57,0.117477087,48.726109,55.732401,0.160883,1.000000,0,,-0.35031212,0.080903682,-0.023305565,0.0053823601
58,0.119538088,49.337330,55.518487,0.138766,1.118034,0,,0.26090888,-0.13301032,0.017357746,-0.0088489105
59,0.121599090,49.285045,55.085498,0.177468,0.707107,0,,0.20862388,-0.56599932,0.013879329,-0.037654803
60,0.123660091,49.227118,55.005597,0.152965,0.000000,0,,0.15069688,-0.64590032,0.010025562,-0.042970456
61,0.125721093,49.147322,55.337285,0.152275,1.581139,0,,0.070900876,-0.31421232,0.0047168935,-0.020903917
62,0.127782094,49.404774,55.248652,0.159383,0.707107,0,,0.32835288,-0.40284532,0.02184466,-0.026800493
63,0.129843096,49.596349,55.330297,0.180927,0.707107,0,,0.51992788,-0.32120032,0.034589762,-0.021368815
64,0.131904097,49.547229,55.651156,0.170712,0.500000,0,,0.47080788,-0.00034131841,0.031321906,-2.2707231e-05
65,0.133965099,49.706985,55.566213,0.183194,0.000000,0,,0.63056388,-0.085284318,0.041950154,-0.0056737951
66,0.136026101,49.638206,55.697759,0.164126,0.707107,0,,0.56178488,0.046261682,0.037374424,0.0030776972
67,0.138087102,49.431885,55.884760,0.141281,1.000000,0,,0.35546388,0.23326268,0.023648301,0.0155185
68,0.140148104,49.250530,55.835009,0.162076,0.000000,0,,0.17410888,0.18351168,0.011583115,0.012208665
69,0.142209105,49.428516,55.720764,0.168206,0.707107,0,,0.35209488,0.069266682,0.023424168,0.0046081738
70,0.144270107,49.568592,55.810191,0.161955,1.118034,0,,0.49217088,0.15869368,0.032743144,0.010557573
71,0.146331108,49.655126,55.701420,0.160924,0.707107,0,,0.57870488,0.049922682,0.038500078,0.0033212562
72,0.148392110,49.926046,55.540241,0.169696,0.500000,0,,0.84962488,-0.11125632,0.056523844,-0.0074016604
73,0.150453111,49.282758,55.503851,0.164008,0.500000,0,,0.20633688,-0.14764632,0.01372718,-0.0098226143
74,0.152514113,49.324015,55.637279,0.158183,1.118034,0,,0.24759388,-0.014218318,0.016471925,-0.00094591629
75,0.154575114,49.134393,55.560014,0.156818,0.707107,0,,0.057971876,-0.091483318,0.0038567529,-0.0060862022
76,0.156636116,49.268705,55.461996,0.165760,0.500000,0,,0.19228388,-0.18950132,0.012792262,-0.012607144
77,0.158697117,49.256496,55.878315,0.154546,0.707107,0,,0.18007488,0.22681768,0.011980021,0.015089727
78,0.160758119,49.390242,55.365841,0.172511,0.500000,0,,0.31382088,-0.28565632,0.020877875,-0.019004144
79,0.162819120,49.474402,55.152549,0.173290,0.500000,0,,0.39798088,-0.49894832,0.026476872,-0.033194034
80,0.164880122,49.430402,55.052296,0.154779,0.707107,0,,0.35398088,-0.59920132,0.02354964,-0.039863665
81,0.166941123,48.996252,54.947164,0.164036,1.118034,0,,-0.080169124,-0.70433332,-0.0053334915,-0.046857887
82,0.169002125,49.062143,55.671016,0.170321,0.500000,0,,-0.014278124,0.019518682,-0.00094989506,0.0012985388
83,0.171063126,49.517301,55.561332,0.152535,1.118034,0,,0.44087988,-0.090165318,0.029330856,-0.0059985183
84,0.173124128,49.366077,55.420431,0.188036,0.707107,0,,0.28965588,-0.23106632,0.019270226,-0.01537238
85,0.175185129,49.044500,55.200980,0.162460,0.707107,0,,-0.031921124,-0.45051732,-0.0021236486,-0.029972016
86,0.177246131,48.834489,55.036118,0.148418,1.118034,0,,-0.24193212,-0.61537932,-0.01609526,-0.040939955
87,0.179307133,48.999126,55.620299,0.164545,1.581139,0,,-0.077295124,-0.031198318,-0.00514229,-0.0020755617
88,0.181368134,49.637517,55.897830,0.151884,1.000000,0,,0.56109588,0.24633268,0.037328586,0.016388021
89,0.183429136,48.977575,55.699319,0.134641,0.000000,0,,-0.098846124,0.047821682,-0.006576035,0.0031814808
90,0.185490137,48.935360,55.811652,0.143375,0.000000,0,,-0.14106112,0.16015468,-0.0093845145,0.010654771
91,0.187551139,49.257169,55.466360,0.138362,1.000000,0,,0.18074788,-0.18513732,0.012024795,-0.012316816
92,0.189612140,49.083017,55.551209,0.154001,0.707107,0,,0.0065958756,-0.10028832,0.00043881041,-0.0066719812
93,0.191673142,49.524020,55.610966,0.180675,1.118034,0,,0.44759888,-0.040531318,0.029777858,-0.0026964676
94,0.193734143,49.146147,55.669726,0.154192,1.581139,0,,0.069725876,0.018228682,0.0046387231,0.0012127177
95,0.195795145,49.444716,55.740375,0.147445,1.118034,0,,0.36829488,0.088877682,0.024501921,0.0059128544
96,0.197856146,49.342510,55.534463,0.170257,0.707107,0,,0.26608888,-0.11703432,0.017702361,-0.0077860591
97,0.199917148,49.162235,55.633367,0.144625,1.414214,0,,0.085813876,-0.018130318,0.0057090255,-0.0012061738
98,0.201978149,49.340071,55.638389,0.148193,1.118034,0,,0.26364988,-0.013108318,0.017540099,-0.00087207021
99,0.204039151,49.024429,55.578511,0.157573,0.500000,0,,-0.051992124,-0.072986318,-0.0034589321,-0.0048556338
100,0.206100152,49.069420,55.626175,0.157738,1.118034,0,,-0.0070011244,-0.025322318,-0.0004657708,-0.0016846432
101,0.208161154,48.782822,55.529308,0.136618,0.707107,0,,-0.29359912,-0.12218932,-0.019532563,-0.008129011
102,0.210222155,49.061159,56.026307,0.152443,0.000000,0,,-0.015262124,0.37480968,-0.0010153586,0.024935338
103,0.212283157,48.803189,55.637555,0.169517,0.500000,0,,-0.27323212,-0.013942318,-0.018177587,-0.00092755456
104,0.214344158,48.778165,55.665268,0.144153,0.707107,0,,-0.29825612,0.013770682,-0.019842383,0.0009161359
105,0.216405160,48.937901,55.519524,0.148293,1.000000,0,,-0.13852012,-0.13197332,-0.0092154668,-0.0087799209
106,0.218466161,49.043100,55.605489,0.164165,0.500000,0,,-0.033321124,-0.046008318,-0.0022167878,-0.0030608414
107,0.220527163,49.129602,55.384270,0.158712,1.414214,0,,0.053180876,-0.26722732,0.0035380173,-0.017778099
108,0.222588164,49.021032,55.522095,0.163972,1.000000,0,,-0.055389124,-0.12940232,-0.0036849277,-0.0086088774
109,0.224649166,49.128077,55.085975,0.156818,0.000000,0,,0.051655876,-0.56552232,0.0034365621,-0.037623069
110,0.226710168,48.904986,55.521378,0.147180,0.500000,0,,-0.17143512,-0.13011932,-0.011405236,-0.008656578
111,0.228771169,48.862114,55.511284,0.152223,0.707107,0,,-0.21430712,-0.14021332,-0.014257424,-0.0093281116
