# method=RADIAL_SYMMETRY
# roi=[32, 25, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
0,0.000000000,48.864560,55.657355,0.134080,1.118034,0,,-0.064883249,0.010962577,-0.0043165528,0.00072931833
1,0.002061002,48.854955,55.720138,0.157100,1.414214,0,,-0.074488249,0.073745577,-0.0049555542,0.0049061458
2,0.004122003,49.054331,55.647908,0.129131,1.118034,0,,0.12488775,0.0015155771,0.0083085323,0.00010082831
3,0.006183005,49.279265,55.507372,0.150264,1.581139,0,,0.34982175,-0.13902042,0.023272941,-0.0092487507
4,0.008244006,49.086751,55.846327,0.125724,1.581139,0,,0.15730775,0.19993458,0.01046537,0.013301248
5,0.010305008,48.747048,55.674670,0.127687,1.000000,0,,-0.18239525,0.028277577,-0.012134391,0.0018812507
6,0.012366009,48.407738,55.768251,0.122456,0.707107,0,,-0.52170525,0.12185858,-0.034708007,0.0081070074
7,0.014427011,48.684935,55.977066,0.132890,0.500000,0,,-0.24450825,0.33067358,-0.016266645,0.021999052
8,0.016488012,48.736186,55.795537,0.149178,0.500000,0,,-0.19325725,0.14914458,-0.012857018,0.0099222904
9,0.018549014,48.776022,55.704666,0.130772,1.118034,0,,-0.15342125,0.058273577,-0.010206809,0.0038768245
10,0.020610015,48.603874,55.591645,0.155804,1.118034,0,,-0.32556925,-0.054747423,-0.021659471,-0.0036422365
11,0.022671017,48.612000,56.154717,0.147417,0.707107,0,,-0.31744325,0.50832458,-0.021118864,0.033817817
12,0.024732018,48.730114,56.419285,0.126325,1.118034,0,,-0.19932925,0.77289258,-0.013260976,0.051418997
13,0.026793020,49.100928,55.852573,0.128422,0.500000,0,,0.17148475,0.20618058,0.011408538,0.013716781
14,0.028854021,49.170865,55.878170,0.143502,0.500000,0,,0.24142175,0.23177758,0.016061306,0.015419699
15,0.030915023,48.380334,56.046170,0.126125,0.707107,0,,-0.54910925,0.39977758,-0.03653114,0.026596403
16,0.032976024,48.462695,55.795564,0.144664,0.500000,0,,-0.46674825,0.14917158,-0.031051827,0.0099240867
17,0.035037026,49.024904,55.934928,0.150509,1.118034,0,,0.095460751,0.28853558,0.0063508129,0.019195695
18,0.037098027,48.855856,55.587365,0.145433,0.500000,0,,-0.073587249,-0.059027423,-0.0048956125,-0.0039269764
19,0.039159029,48.826208,55.587946,0.144867,0.707107,0,,-0.10323525,-0.058446423,-0.0068680346,-0.0038883236
20,0.041220030,49.052351,55.268356,0.133109,1.118034,0,,0.12290775,-0.37803642,0.0081768069,-0.025150007
21,0.043281032,48.814191,55.555702,0.162644,0.000000,0,,-0.11525225,-0.090690423,-0.0076675016,-0.0060334525
22,0.045342034,48.546483,55.912630,0.137889,1.000000,0,,-0.38296025,0.26623758,-0.025477579,0.017712254
23,0.047403035,48.707699,55.379471,0.146603,1.118034,0,,-0.22174425,-0.26692142,-0.014752201,-0.017757748
24,0.049464037,49.287500,55.586380,0.164290,1.581139,0,,0.35805675,-0.060012423,0.0238208,-0.0039925065
25,0.051525038,48.824590,55.519401,0.154247,1.000000,0,,-0.10485325,-0.12699142,-0.0069756769,-0.0084484854
26,0.053586040,48.924123,55.709455,0.150926,1.118034,0,,-0.0053202488,0.063062577,-0.00035394551,0.0041954271
27,0.055647041,48.674957,55.941844,0.131131,0.707107,0,,-0.25448625,0.29545158,-0.016930461,0.019655803
28,0.057708043,48.917397,55.760760,0.139015,1.118034,0,,-0.012046249,0.11436758,-0.00080141284,0.0076086462
29,0.059769044,48.845350,55.797222,0.143311,1.118034,0,,-0.084093249,0.15082958,-0.0055945557,0.01003439
30,0.061830046,49.078377,55.769842,0.146378,0.500000,0,,0.14893375,0.12344958,0.0099082646,0.0082128535
31,0.063891047,48.781896,55.408076,0.151441,0.000000,0,,-0.14754725,-0.23831642,-0.0098160234,-0.015854715
32,0.065952049,48.673242,55.856369,0.146619,1.000000,0,,-0.25620125,0.20997658,-0.017044557,0.013969322
33,0.068013050,49.108712,55.850418,0.138193,1.118034,0,,0.17926875,0.20402558,0.011926391,0.013573414
34,0.070074052,49.293151,55.931469,0.143754,0.500000,0,,0.36370775,0.28507658,0.024196749,0.018965575
35,0.072135053,49.000636,55.811583,0.155917,1.118034,0,,0.071192751,0.16519058,0.0047363114,0.010989799
36,0.074196055,49.259720,55.689960,0.157702,0.500000,0,,0.33027675,0.043567577,0.021972652,0.0028984638
37,0.076257056,49.048883,55.950988,0.139701,0.707107,0,,0.11943975,0.30459558,0.0079460878,0.020264135
38,0.078318058,48.921238,55.528210,0.146436,0.707107,0,,-0.0082052488,-0.11818242,-0.00054587879,-0.0078624402
39,0.080379059,48.936394,55.831998,0.157368,0.707107,0,,0.0069507512,0.18560558,0.00046241958,0.012347968
40,0.082440061,48.861335,55.684732,0.141789,0.707107,0,,-0.068108249,0.038339577,-0.0045311056,0.0025506554
41,0.084501062,48.550833,55.645952,0.117869,1.000000,0,,-0.37861025,-0.00044042289,-0.025188183,-2.9300454e-05
42,0.086562064,48.722569,55.835294,0.137927,1.118034,0,,-0.20687425,0.18890158,-0.01376293,0.012567244
43,0.088623065,48.821097,55.626442,0.159556,1.414214,0,,-0.10834625,-0.019950423,-0.0072080592,-0.0013272617
44,0.090684067,49.047385,55.510801,0.151787,1.414214,0,,0.11794175,-0.13559142,0.0078464288,-0.0090206262
45,0.092745069,49.046881,55.655646,0.166567,0.707107,0,,0.11743775,0.0092535771,0.0078128987,0.00061562198
46,0.094806070,48.552351,55.642118,0.143613,0.000000,0,,-0.37709225,-0.0042744229,-0.025087193,-0.00028436881
47,0.096867072,48.723561,55.779899,0.150519,0.707107,0,,-0.20588225,0.13350658,-0.013696934,0.0088819256
48,0.098928073,48.720790,55.553623,0.132183,0.707107,0,,-0.20865325,-0.092769423,-0.013881283,-0.0061717642
49,0.100989075,48.898589,55.714347,0.150811,0.500000,0,,-0.030854249,0.067954577,-0.0020526715,0.0045208821
50,0.103050076,48.902920,55.903629,0.154200,0.500000,0,,-0.026523249,0.25723658,-0.0017645387,0.017113435
51,0.105111078,48.864733,55.683813,0.144122,1.118034,0,,-0.064710249,0.037420577,-0.0043050434,0.0024895162
52,0.107172079,48.778506,55.698255,0.137222,1.414214,0,,-0.15093725,0.051862577,-0.010041553,0.0034503135
53,0.109233081,48.938135,55.355958,0.146578,0.707107,0,,0.0086917512,-0.29043442,0.00057824483,-0.019322021
54,0.111294082,48.931704,55.656925,0.133936,1.000000,0,,0.0022607512,0.010532577,0.00015040326,0.00070071129
55,0.113355084,48.981569,55.432989,0.158344,1.000000,0,,0.052125751,-0.21340342,0.003467822,-0.014197303
56,0.115416085,48.819281,55.731366,0.122233,0.500000,0,,-0.11016225,0.084973577,-0.0073288741,0.0056531221
57,0.117477087,48.622715,55.767917,0.133982,1.000000,0,,-0.30672825,0.12152458,-0.020406017,0.0080847871
58,0.119538088,49.194345,55.531475,0.138844,1.118034,0,,0.26490175,-0.11491742,0.017623384,-0.0076452263
59,0.121599090,49.107800,55.063804,0.163187,0.707107,0,,0.17835675,-0.58258842,0.011865718,-0.038758443
60,0.123660091,49.073311,54.987989,0.165714,0.000000,0,,0.14386775,-0.65840342,0.0095712338,-0.043802263
61,0.125721093,49.003993,55.252068,0.164270,1.581139,0,,0.074549751,-0.39432442,0.0049596459,-0.026233615
62,0.127782094,49.184331,55.185374,0.155280,0.707107,0,,0.25488775,-0.46101842,0.016957172,-0.030670634
63,0.129843096,49.404433,55.288776,0.168144,0.707107,0,,0.47498975,-0.35761642,0.031600118,-0.023791505
64,0.131904097,49.331822,55.631590,0.161736,1.118034,0,,0.40237875,-0.014802423,0.026769454,-0.00098477559
65,0.133965099,49.467378,55.580015,0.160962,0.500000,0,,0.53793475,-0.066377423,0.035787723,-0.0044159572
66,0.136026101,49.548402,55.672126,0.153272,0.707107,0,,0.61895875,0.025733577,0.041178088,0.0017120034
67,0.138087102,49.305101,55.896373,0.148151,1.000000,0,,0.37565775,0.24998058,0.024991759,0.016630708
68,0.140148104,49.116358,55.753753,0.164939,0.000000,0,,0.18691475,0.10736058,0.012435065,0.0071424845
69,0.142209105,49.249185,55.728412,0.151091,0.707107,0,,0.31974175,0.082019577,0.021271779,0.0054565984
70,0.144270107,49.440584,55.790131,0.154842,1.118034,0,,0.51114075,0.14373858,0.034005172,0.0095626401
71,0.146331108,49.542536,55.641746,0.168824,0.707107,0,,0.61309275,-0.0046464229,0.040787835,-0.00030911722
72,0.148392110,49.749924,55.540621,0.153582,0.500000,0,,0.82048075,-0.10577142,0.054584943,-0.0070367612
73,0.150453111,49.157191,55.487133,0.167429,0.500000,0,,0.22774775,-0.15925942,0.015151602,-0.010595211
74,0.152514113,49.196375,55.593680,0.153451,1.118034,0,,0.26693175,-0.052712423,0.017758436,-0.0035068521
75,0.154575114,48.925747,55.456837,0.153202,0.500000,0,,-0.0036962488,-0.18955542,-0.00024590404,-0.012610743
76,0.156636116,49.119494,55.456071,0.158324,0.500000,0,,0.19005075,-0.19032142,0.012643696,-0.012661704
77,0.158697117,49.102497,55.879952,0.144092,0.707107,0,,0.17305375,0.23355958,0.01151292,0.015538252
78,0.160758119,49.268205,55.283370,0.170077,0.500000,0,,0.33876175,-0.36302242,0.022537142,-0.024151156
79,0.162819120,49.251884,55.117667,0.159292,0.500000,0,,0.32244075,-0.52872542,0.021451338,-0.035175045
80,0.164880122,49.309406,54.887682,0.180601,0.707107,0,,0.37996275,-0.75871042,0.025278162,-0.050475487
81,0.166941123,48.805741,54.888287,0.165547,1.118034,0,,-0.12370225,-0.75810542,-0.0082296632,-0.050435238
82,0.169002125,48.924577,55.666329,0.147202,0.500000,0,,-0.0048662488,0.019936577,-0.0003237418,0.0013263406
83,0.171063126,49.346295,55.545038,0.147795,0.707107,0,,0.41685175,-0.10135442,0.027732313,-0.006742907
84,0.173124128,49.172564,55.422926,0.162536,0.707107,0,,0.24312075,-0.22346642,0.016174337,-0.014866774
85,0.175185129,48.881318,55.176016,0.154884,0.707107,0,,-0.048125249,-0.47037642,-0.0032016765,-0.031293203
86,0.177246131,48.729061,55.022815,0.140980,1.118034,0,,-0.20038225,-0.62357742,-0.01333103,-0.041485359
87,0.179307133,48.850362,55.633009,0.146341,1.581139,0,,-0.079081249,-0.013383423,-0.0052611173,-0.00089037236
88,0.181368134,49.448576,55.895576,0.132801,1.118034,0,,0.51913275,0.24918358,0.034536864,0.016577685
89,0.183429136,48.856967,55.707478,0.135647,0.000000,0,,-0.072476249,0.061085577,-0.0048216999,0.0040639013
90,0.185490137,48.850855,55.751884,0.176361,0.000000,0,,-0.078588249,0.10549158,-0.005228319,0.0070181436
91,0.187551139,49.070332,55.465827,0.135638,1.000000,0,,0.14088875,-0.18056542,0.0093730468,-0.012012656
92,0.189612140,48.952227,55.528778,0.143709,0.707107,0,,0.022783751,-0.11761442,0.0015157574,-0.0078246523
93,0.191673142,49.429454,55.610119,0.150645,0.707107,0,,0.50001075,-0.036273423,0.033264715,-0.0024131983
94,0.193734143,48.994404,55.580117,0.142868,1.581139,0,,0.064960751,-0.066275423,0.0043217089,-0.0044091713
95,0.195795145,49.319838,55.678432,0.144690,1.118034,0,,0.39039475,0.032039577,0.025972182,0.002131529
96,0.197856146,49.237448,55.494750,0.156967,1.118034,0,,0.30800475,-0.15164242,0.02049094,-0.010088467
97,0.199917148,49.053656,55.690430,0.128920,1.414214,0,,0.12421275,0.044037577,0.0082636259,0.0029297319
98,0.201978149,49.215028,55.643853,0.143216,1.118034,0,,0.28558475,-0.0025394229,0.018999382,-0.00016894273
99,0.204039151,48.882268,55.556238,0.147371,0.500000,0,,-0.047175249,-0.090154423,-0.0031384749,-0.0059977934
100,0.206100152,48.917520,55.631110,0.153550,1.118034,0,,-0.011923249,-0.015282423,-0.00079322989,-0.001016709
101,0.208161154,48.623422,55.512604,0.139311,0.707107,0,,-0.30602125,-0.13378842,-0.020358982,-0.0089006762
