# method=RADIAL_SYMMETRY
# roi=[31, 23, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
0,0.000000000,49.263164,55.814312,0.162038,0.500000,0,,0.17206344,-0.054258886,0.011447037,-0.0036097351
1,0.002061002,49.025537,55.914152,0.145206,0.500000,0,,-0.065563557,0.045581114,-0.0043618123,0.0030324204
2,0.004122003,48.988771,56.142526,0.145983,1.000000,0,,-0.10232956,0.27395511,-0.0068077808,0.018225686
3,0.006183005,48.789969,55.961386,0.146170,1.000000,0,,-0.30113156,0.092815114,-0.02003368,0.0061748039
4,0.008244006,48.868880,56.004934,0.149470,0.500000,0,,-0.22222056,0.13636311,-0.014783889,0.0090719653
5,0.010305008,48.869924,55.725707,0.140897,1.118034,0,,-0.22117656,-0.14286389,-0.014714434,-0.0095044486
6,0.012366009,48.781575,55.901352,0.129546,0.707107,0,,-0.30952556,0.032781114,-0.020592116,0.002180862
7,0.014427011,48.773303,56.053784,0.157562,0.707107,0,,-0.31779756,0.18521311,-0.021142436,0.012321858
8,0.016488012,49.026621,55.945632,0.137170,0.000000,0,,-0.064479557,0.077061114,-0.004289696,0.0051267218
9,0.018549014,48.842495,56.390813,0.152572,1.000000,0,,-0.24860556,0.52224211,-0.016539231,0.034743723
10,0.020610015,48.801951,56.301464,0.147095,1.000000,0,,-0.28914956,0.43289311,-0.019236542,0.028799513
11,0.022671017,48.621222,55.896964,0.138472,1.118034,0,,-0.46987856,0.028393114,-0.031260081,0.0018889371
12,0.024732018,49.083651,55.844593,0.155653,0.500000,0,,-0.0074495572,-0.023977886,-0.00049560414,-0.0015952008
13,0.026793020,48.844532,56.162908,0.142889,1.000000,0,,-0.24656856,0.29433711,-0.016403713,0.01958166
14,0.028854021,49.014895,56.075308,0.152626,0.500000,0,,-0.076205557,0.20673711,-0.0050698033,0.013753807
15,0.030915023,49.142201,55.965445,0.146596,1.000000,0,,0.051100443,0.096874114,0.0033996103,0.0064448411
16,0.032976024,49.340443,55.989692,0.158601,0.500000,0,,0.24934244,0.12112111,0.016588254,0.0080579455
17,0.035037026,48.941686,56.128430,0.142537,0.000000,0,,-0.14941456,0.25985911,-0.0099402517,0.017287907
18,0.037098027,48.786416,55.988879,0.136255,0.707107,0,,-0.30468456,0.12030811,-0.020270054,0.0080038582
19,0.039159029,48.619464,56.373542,0.136202,0.707107,0,,-0.47163656,0.50497111,-0.031377037,0.033594718
20,0.041220030,48.895599,56.227602,0.129476,0.707107,0,,-0.19550156,0.35903111,-0.013006328,0.023885622
21,0.043281032,49.098899,56.090622,0.131638,0.707107,0,,0.0077984428,0.22205111,0.0005188148,0.014772617
22,0.045342034,49.421893,55.852193,0.169655,1.118034,0,,0.33079244,-0.016377886,0.02200696,-0.001089588
23,0.047403035,49.152416,56.215298,0.152260,0.500000,0,,0.061315443,0.34672711,0.0040791938,0.023067061
24,0.049464037,49.124319,56.151660,0.165456,0.500000,0,,0.033218443,0.28308911,0.0022099566,0.018833353
25,0.051525038,48.932804,56.222348,0.151768,0.500000,0,,-0.15829656,0.35377711,-0.010531153,0.023536084
26,0.053586040,49.050251,56.226601,0.130001,1.118034,0,,-0.040849557,0.35803011,-0.0027176393,0.023819027
27,0.055647041,48.974346,55.856931,0.148813,0.707107,0,,-0.11675456,-0.011639886,-0.0077674472,-0.00077437831
28,0.057708043,49.320896,55.923657,0.147360,1.000000,0,,0.22979544,0.055086114,0.015287831,0.003664769
29,0.059769044,48.758625,56.235915,0.171319,0.500000,0,,-0.33247556,0.36734411,-0.022118934,0.024438669
30,0.061830046,49.204771,55.928681,0.149182,0.500000,0,,0.11367044,0.060110114,0.0075622672,0.0039990057
31,0.063891047,49.143629,56.116749,0.146532,0.500000,0,,0.052528443,0.24817811,0.0034946122,0.016510794
32,0.065952049,48.747612,55.640087,0.153550,0.000000,0,,-0.34348856,-0.22848389,-0.022851607,-0.015200576
33,0.068013050,49.140302,55.777257,0.172458,1.581139,0,,0.049201443,-0.091313886,0.0032732736,-0.0060749302
34,0.070074052,49.031663,55.455042,0.150562,0.500000,0,,-0.059437557,-0.41352889,-0.0039542618,-0.02751125
35,0.072135053,49.429103,55.575234,0.164223,1.000000,0,,0.33800244,-0.29333689,0.022486627,-0.019515116
36,0.074196055,49.131931,55.267749,0.160707,0.000000,0,,0.040830443,-0.60082189,0.0027163677,-0.039971478
37,0.076257056,48.734011,55.631892,0.153417,1.000000,0,,-0.35708956,-0.23667889,-0.023756454,-0.015745773
38,0.078318058,48.696752,55.745612,0.146831,0.707107,0,,-0.39434856,-0.12295889,-0.026235221,-0.0081802087
39,0.080379059,49.120311,55.891880,0.151319,1.118034,0,,0.029210443,0.023309114,0.0019433123,0.0015507088
40,0.082440061,48.887323,55.858783,0.136738,0.707107,0,,-0.20377756,-0.0097878856,-0.013556913,-0.00065116845
41,0.084501062,48.963548,55.683554,0.149188,1.118034,0,,-0.12755256,-0.18501689,-0.0084858165,-0.012308803
42,0.086562064,48.965800,55.834034,0.144997,0.707107,0,,-0.12530056,-0.034536886,-0.0083359955,-0.0022976699
43,0.088623065,49.096774,56.016921,0.135450,1.118034,0,,0.0056734428,0.14835011,0.0003774428,0.0098694364
44,0.090684067,48.947998,55.716800,0.154677,0.500000,0,,-0.14310256,-0.15177089,-0.0095203269,-0.010097013
45,0.092745069,49.400564,56.113159,0.153899,0.000000,0,,0.30946344,0.24458811,0.020587984,0.016271958
46,0.094806070,49.592459,55.723243,0.164302,1.118034,0,,0.50135844,-0.14532789,0.033354374,-0.0096683736
47,0.096867072,49.489184,55.624813,0.176643,0.707107,0,,0.39808344,-0.24375789,0.026483695,-0.016216725
48,0.098928073,49.579080,55.695804,0.181830,1.000000,0,,0.48797944,-0.17276689,0.032464296,-0.011493835
49,0.100989075,50.002343,55.298859,0.187435,0.000000,0,,0.91124244,-0.56971189,0.060623137,-0.037901792
50,0.103050076,49.576219,55.267652,0.159471,1.118034,0,,0.48511844,-0.60091889,0.03227396,-0.039977932
51,0.105111078,49.444385,55.809321,0.147006,0.000000,0,,0.35328444,-0.059249886,0.023503307,-0.0039417764
52,0.107172079,49.089016,55.496989,0.176423,0.707107,0,,-0.0020845572,-0.37158189,-0.00013868142,-0.0247206
53,0.109233081,49.469907,55.376196,0.151318,0.707107,0,,0.37880644,-0.49237489,0.025201235,-0.032756716
54,0.111294082,48.974691,56.191530,0.144247,0.500000,0,,-0.11640956,0.32295911,-0.007744495,0.021485824
55,0.113355084,49.212688,55.691535,0.135908,1.000000,0,,0.12158744,-0.17703589,0.0080889694,-0.011777843
56,0.115416085,49.020483,56.201969,0.145018,1.118034,0,,-0.070617557,0.33339811,-0.0046980448,0.02218031
57,0.117477087,49.020730,55.774709,0.158206,0.707107,0,,-0.070370557,-0.093861886,-0.0046816124,-0.0062444435
58,0.119538088,48.904030,55.618925,0.136274,0.500000,0,,-0.18707056,-0.24964589,-0.01244543,-0.016608441
59,0.121599090,48.945107,55.898449,0.141832,0.000000,0,,-0.14599356,0.029878114,-0.0097126594,0.0019877312
